Headline,Model_Predicted_Clickbait,User_Agrees
"22 Wildly Popular Products With Over 1,000 Positive Reviews On Amazon",True,True
What people in power think the impact of the Iran war will be,False,True
,False,False
,False,False
,False,False
"PM To Address Nation At 8:30 PM, Day After Women's Quota Bill Defeated",False,True
'Resume process of facilitating India-bound ships at earliest': MEA to Iran envoy after Hormuz firing,False,True
,False,False
,False,False
,False,True
,False,False
,False,False
,False,False
,False,False
Iran's big remark as Islamabad peace talks fail to take off: ‘If US is truly serious’,False,True
,False,True
The Brutal Truth About What It Would Actually Cost To Live ’Comfortably’ In San Francisco,True,True
Lindsay Lohan’s ’Pink Slip’ Just Performed At Disneyland And My Inner Teen Is Absolutely Screaming,True,True
